ID;Authors;Article Title;DOI;DOI Link;Supply/demand CES;CES services type original;Initial variables;Final Variables;Most contributing variable;Models used;Best Model;Presence/Abundance model;Original pixel size;Pixel size resampled;Temporality;Social media source data;Type of social media data;Spatial cover;Protect area;Country;Area name;Ecosystem type 1;Ecosystem type 2;Ecosystem type 3;Evaluate changes over time;Excluir;Metrics;Revisor;Order;Variables Standardized;Type;Variables Originales;Level3;Level2;Level1;CES;IPBES;CES services type original;Metrics values;Metrics threshold
1;"Mouttaki, I; Khomalli, Y; Maanan, M; Bagdanaviciute, I; Rhinane, H; Kuriqi, A; Pham, QB; Maanan, M";A New Approach to Mapping Cultural Ecosystem Services;10.3390/environments8060056;http://dx.doi.org/10.3390/environments8060056;Undefined;Tourism attraction;parks and semi-natural areas;parks and semi-natural areas;parks and semi-natural areas;Simple Linear Regression;Simple Linear Regression;Abundance;300;300;2005-2017;Flickr;Photos;Local;yes;Morocco;Dakhla Bay;Coastal systems (incl wetlands);;;yes;no;R² (Coefficient of Determination);Carlos;223;parks and semi-natural areas;Other;parks and semi-natural areas;Green and blue spaces;Green and blue spaces;Anthropic elements;Recreation;Physical and psychological experiences;Tourism attraction;;
1;"Mouttaki, I; Khomalli, Y; Maanan, M; Bagdanaviciute, I; Rhinane, H; Kuriqi, A; Pham, QB; Maanan, M";A New Approach to Mapping Cultural Ecosystem Services;10.3390/environments8060056;http://dx.doi.org/10.3390/environments8060056;Undefined;Tourism attraction;ports;ports;ports;Simple Linear Regression;Simple Linear Regression;Abundance;300;300;2005-2017;Flickr;Photos;Local;yes;Morocco;Dakhla Bay;Coastal systems (incl wetlands);;;yes;no;R² (Coefficient of Determination);Carlos;224;port;Other;ports;Maritime and Air Transport Infrastructure;Accessibility;Anthropic elements;Recreation;Physical and psychological experiences;Tourism attraction;;
1;"Mouttaki, I; Khomalli, Y; Maanan, M; Bagdanaviciute, I; Rhinane, H; Kuriqi, A; Pham, QB; Maanan, M";A New Approach to Mapping Cultural Ecosystem Services;10.3390/environments8060056;http://dx.doi.org/10.3390/environments8060056;Undefined;Tourism attraction;restaurants;restaurants;restaurants;Simple Linear Regression;Simple Linear Regression;Abundance;300;300;2005-2017;Flickr;Photos;Local;yes;Morocco;Dakhla Bay;Coastal systems (incl wetlands);;;yes;no;R² (Coefficient of Determination);Carlos;225;restaurants;Other;restaurants;Accommodation;Infrastructure;Anthropic elements;Recreation;Physical and psychological experiences;Tourism attraction;;
1;"Mouttaki, I; Khomalli, Y; Maanan, M; Bagdanaviciute, I; Rhinane, H; Kuriqi, A; Pham, QB; Maanan, M";A New Approach to Mapping Cultural Ecosystem Services;10.3390/environments8060056;http://dx.doi.org/10.3390/environments8060056;Undefined;Tourism attraction;restaurants;restaurants;;Simple Linear Regression;Simple Linear Regression;Abundance;300;300;2005-2017;Flickr;Photos;Local;yes;Morocco;Dakhla Bay;Coastal systems (incl wetlands);;;yes;no;R² (Coefficient of Determination);Carlos;226;restaurants;Other;restaurants;Accommodation;Infrastructure;Anthropic elements;Recreation;Physical and psychological experiences;Tourism attraction;;
1;"Mouttaki, I; Khomalli, Y; Maanan, M; Bagdanaviciute, I; Rhinane, H; Kuriqi, A; Pham, QB; Maanan, M";A New Approach to Mapping Cultural Ecosystem Services;10.3390/environments8060056;http://dx.doi.org/10.3390/environments8060056;Undefined;Tourism attraction;roads;roads;;Simple Linear Regression;Simple Linear Regression;Abundance;300;300;2005-2017;Flickr;Photos;Local;yes;Morocco;Dakhla Bay;Coastal systems (incl wetlands);;;yes;no;R² (Coefficient of Determination);Carlos;227;roads;Other;roads;Roads and Paths;Accessibility;Anthropic elements;Recreation;Physical and psychological experiences;Tourism attraction;;
1;"Mouttaki, I; Khomalli, Y; Maanan, M; Bagdanaviciute, I; Rhinane, H; Kuriqi, A; Pham, QB; Maanan, M";A New Approach to Mapping Cultural Ecosystem Services;10.3390/environments8060056;http://dx.doi.org/10.3390/environments8060056;Undefined;Tourism attraction;surf schools;surf schools;surf schools;Simple Linear Regression;Simple Linear Regression;Abundance;300;300;2005-2017;Flickr;Photos;Local;yes;Morocco;Dakhla Bay;Coastal systems (incl wetlands);;;yes;no;R² (Coefficient of Determination);Carlos;228;surf schools;Other;surf schools;Recreational or tourism infrastructures;Recreational Opportunities;Anthropic elements;Recreation;Physical and psychological experiences;Tourism attraction;;
1;"Mouttaki, I; Khomalli, Y; Maanan, M; Bagdanaviciute, I; Rhinane, H; Kuriqi, A; Pham, QB; Maanan, M";A New Approach to Mapping Cultural Ecosystem Services;10.3390/environments8060056;http://dx.doi.org/10.3390/environments8060056;Undefined;Tourism attraction;white dunes;white dunes;;Simple Linear Regression;Simple Linear Regression;Abundance;300;300;2005-2017;Flickr;Photos;Local;yes;Morocco;Dakhla Bay;Coastal systems (incl wetlands);;;yes;no;R² (Coefficient of Determination);Carlos;229;white dunes;Other;white dunes;Geology;Natural Environment;Natural elements;Recreation;Physical and psychological experiences;Tourism attraction;;
68;"Richards, DR; Friess, DA";A rapid indicator of cultural ecosystem service usage at a fine spatial scale: Content analysis of social media photographs;10.1016/j.ecolind.2015.01.034;https://doi.org/10.1016/j.ecolind.2015.01.034;Demand;Fishing recreation;distance from path/boardwalk;distance from path/boardwalk;distance from path/boardwalk;MaxEnt;MaxEnt;Presence;4;4;2011-2026;Flickr;Photos;Local;yes;Singapore;Berlayer Creek, Chek Jawa, Sungei Buloh Wetland Reserve (SBWR) y Mandai;Mangroves;Coastal systems (incl wetlands);;no;no;AUC-ROC (Area Under the Receiver Operating Characteristic Curve);Carlos;1226;paths and trails;Distance;distance from path/boardwalk;Roads and Paths;Accessibility;Anthropic elements;Recreation (e.g. hunting, fishing);Physical and psychological experiences;Fishing recreation;;
68;"Richards, DR; Friess, DA";A rapid indicator of cultural ecosystem service usage at a fine spatial scale: Content analysis of social media photographs;10.1016/j.ecolind.2015.01.034;https://doi.org/10.1016/j.ecolind.2015.01.034;Demand;Fishing recreation;distance from site entrance;distance from site entrance;;MaxEnt;MaxEnt;Presence;4;4;2011-2027;Flickr;Photos;Local;yes;Singapore;Berlayer Creek, Chek Jawa, Sungei Buloh Wetland Reserve (SBWR) y Mandai;Mangroves;Coastal systems (incl wetlands);;no;no;AUC-ROC (Area Under the Receiver Operating Characteristic Curve);Carlos;1227;site entrance;Distance;distance from site entrance;Recreational or tourism infrastructures;Recreational Opportunities;Anthropic elements;Recreation (e.g. hunting, fishing);Physical and psychological experiences;Fishing recreation;;
68;"Richards, DR; Friess, DA";A rapid indicator of cultural ecosystem service usage at a fine spatial scale: Content analysis of social media photographs;10.1016/j.ecolind.2015.01.034;https://doi.org/10.1016/j.ecolind.2015.01.034;Demand;Fishing recreation;main habitat type within 30 m;main habitat type within 30 m;;MaxEnt;MaxEnt;Presence;4;4;2011-2028;Flickr;Photos;Local;yes;Singapore;Berlayer Creek, Chek Jawa, Sungei Buloh Wetland Reserve (SBWR) y Mandai;Mangroves;Coastal systems (incl wetlands);;no;no;AUC-ROC (Area Under the Receiver Operating Characteristic Curve);Carlos;1228;habitat type;Original variable;main habitat type within 30 m;Land Use and Land Cover;Land Use and Land Cover;Natural elements;Recreation (e.g. hunting, fishing);Physical and psychological experiences;Fishing recreation;;
68;"Richards, DR; Friess, DA";A rapid indicator of cultural ecosystem service usage at a fine spatial scale: Content analysis of social media photographs;10.1016/j.ecolind.2015.01.034;https://doi.org/10.1016/j.ecolind.2015.01.034;Demand;Fishing recreation;distance from focal point;distance from focal point;;MaxEnt;MaxEnt;Presence;4;4;2011-2029;Flickr;Photos;Local;yes;Singapore;Berlayer Creek, Chek Jawa, Sungei Buloh Wetland Reserve (SBWR) y Mandai;Mangroves;Coastal systems (incl wetlands);;no;no;AUC-ROC (Area Under the Receiver Operating Characteristic Curve);Carlos;1229;focal point;Distance;distance from focal point;Recreational or tourism infrastructures;Recreational Opportunities;Anthropic elements;Recreation (e.g. hunting, fishing);Physical and psychological experiences;Fishing recreation;;
68;"Richards, DR; Friess, DA";A rapid indicator of cultural ecosystem service usage at a fine spatial scale: Content analysis of social media photographs;10.1016/j.ecolind.2015.01.034;https://doi.org/10.1016/j.ecolind.2015.01.034;Demand;History;distance from path/boardwalk;distance from path/boardwalk;distance from path/boardwalk;MaxEnt;MaxEnt;Presence;4;4;2011-2030;Flickr;Photos;Local;yes;Singapore;Berlayer Creek, Chek Jawa, Sungei Buloh Wetland Reserve (SBWR) y Mandai;Mangroves;Coastal systems (incl wetlands);;no;no;AUC-ROC (Area Under the Receiver Operating Characteristic Curve);Carlos;1230;paths and trails;Distance;distance from path/boardwalk;Roads and Paths;Accessibility;Anthropic elements;Cultural heritage;Supporting identities;History;;
68;"Richards, DR; Friess, DA";A rapid indicator of cultural ecosystem service usage at a fine spatial scale: Content analysis of social media photographs;10.1016/j.ecolind.2015.01.034;https://doi.org/10.1016/j.ecolind.2015.01.034;Demand;History;distance from site entrance;distance from site entrance;;MaxEnt;MaxEnt;Presence;4;4;2011-2031;Flickr;Photos;Local;yes;Singapore;Berlayer Creek, Chek Jawa, Sungei Buloh Wetland Reserve (SBWR) y Mandai;Mangroves;Coastal systems (incl wetlands);;no;no;AUC-ROC (Area Under the Receiver Operating Characteristic Curve);Carlos;1231;site entrance;Distance;distance from site entrance;Recreational or tourism infrastructures;Recreational Opportunities;Anthropic elements;Cultural heritage;Supporting identities;History;;
68;"Richards, DR; Friess, DA";A rapid indicator of cultural ecosystem service usage at a fine spatial scale: Content analysis of social media photographs;10.1016/j.ecolind.2015.01.034;https://doi.org/10.1016/j.ecolind.2015.01.034;Demand;History;main habitat type within 30 m;main habitat type within 30 m;;MaxEnt;MaxEnt;Presence;4;4;2011-2032;Flickr;Photos;Local;yes;Singapore;Berlayer Creek, Chek Jawa, Sungei Buloh Wetland Reserve (SBWR) y Mandai;Mangroves;Coastal systems (incl wetlands);;no;no;AUC-ROC (Area Under the Receiver Operating Characteristic Curve);Carlos;1232;habitat type;Original variable;main habitat type within 30 m;Land Use and Land Cover;Land Use and Land Cover;Natural elements;Cultural heritage;Supporting identities;History;;
68;"Richards, DR; Friess, DA";A rapid indicator of cultural ecosystem service usage at a fine spatial scale: Content analysis of social media photographs;10.1016/j.ecolind.2015.01.034;https://doi.org/10.1016/j.ecolind.2015.01.034;Demand;History;distance from focal point;distance from focal point;;MaxEnt;MaxEnt;Presence;4;4;2011-2033;Flickr;Photos;Local;yes;Singapore;Berlayer Creek, Chek Jawa, Sungei Buloh Wetland Reserve (SBWR) y Mandai;Mangroves;Coastal systems (incl wetlands);;no;no;AUC-ROC (Area Under the Receiver Operating Characteristic Curve);Carlos;1233;focal point;Distance;distance from focal point;Recreational or tourism infrastructures;Recreational Opportunities;Anthropic elements;Cultural heritage;Supporting identities;History;;
68;"Richards, DR; Friess, DA";A rapid indicator of cultural ecosystem service usage at a fine spatial scale: Content analysis of social media photographs;10.1016/j.ecolind.2015.01.034;https://doi.org/10.1016/j.ecolind.2015.01.034;Demand;Landscape;distance from path/boardwalk;distance from path/boardwalk;distance from path/boardwalk;MaxEnt;MaxEnt;Presence;4;4;2011-2018;Flickr;Photos;Local;yes;Singapore;Berlayer Creek, Chek Jawa, Sungei Buloh Wetland Reserve (SBWR) y Mandai;Mangroves;Coastal systems (incl wetlands);;no;no;AUC-ROC (Area Under the Receiver Operating Characteristic Curve);Carlos;1218;paths and trails;Distance;distance from path/boardwalk;Roads and Paths;Accessibility;Anthropic elements;Enjoy the landscape;Physical and psychological experiences;Landscape;;
68;"Richards, DR; Friess, DA";A rapid indicator of cultural ecosystem service usage at a fine spatial scale: Content analysis of social media photographs;10.1016/j.ecolind.2015.01.034;https://doi.org/10.1016/j.ecolind.2015.01.034;Demand;Landscape;distance from site entrance;distance from site entrance;;MaxEnt;MaxEnt;Presence;4;4;2011-2019;Flickr;Photos;Local;yes;Singapore;Berlayer Creek, Chek Jawa, Sungei Buloh Wetland Reserve (SBWR) y Mandai;Mangroves;Coastal systems (incl wetlands);;no;no;AUC-ROC (Area Under the Receiver Operating Characteristic Curve);Carlos;1219;site entrance;Distance;distance from site entrance;Recreational or tourism infrastructures;Recreational Opportunities;Anthropic elements;Enjoy the landscape;Physical and psychological experiences;Landscape;;
68;"Richards, DR; Friess, DA";A rapid indicator of cultural ecosystem service usage at a fine spatial scale: Content analysis of social media photographs;10.1016/j.ecolind.2015.01.034;https://doi.org/10.1016/j.ecolind.2015.01.034;Demand;Landscape;main habitat type within 30 m;main habitat type within 30 m;;MaxEnt;MaxEnt;Presence;4;4;2011-2020;Flickr;Photos;Local;yes;Singapore;Berlayer Creek, Chek Jawa, Sungei Buloh Wetland Reserve (SBWR) y Mandai;Mangroves;Coastal systems (incl wetlands);;no;no;AUC-ROC (Area Under the Receiver Operating Characteristic Curve);Carlos;1220;habitat type;Original variable;main habitat type within 30 m;Land Use and Land Cover;Land Use and Land Cover;Natural elements;Enjoy the landscape;Physical and psychological experiences;Landscape;;
68;"Richards, DR; Friess, DA";A rapid indicator of cultural ecosystem service usage at a fine spatial scale: Content analysis of social media photographs;10.1016/j.ecolind.2015.01.034;https://doi.org/10.1016/j.ecolind.2015.01.034;Demand;Landscape;distance from focal point;distance from focal point;;MaxEnt;MaxEnt;Presence;4;4;2011-2021;Flickr;Photos;Local;yes;Singapore;Berlayer Creek, Chek Jawa, Sungei Buloh Wetland Reserve (SBWR) y Mandai;Mangroves;Coastal systems (incl wetlands);;no;no;AUC-ROC (Area Under the Receiver Operating Characteristic Curve);Carlos;1221;focal point;Distance;distance from focal point;Recreational or tourism infrastructures;Recreational Opportunities;Anthropic elements;Enjoy the landscape;Physical and psychological experiences;Landscape;;
68;"Richards, DR; Friess, DA";A rapid indicator of cultural ecosystem service usage at a fine spatial scale: Content analysis of social media photographs;10.1016/j.ecolind.2015.01.034;https://doi.org/10.1016/j.ecolind.2015.01.034;Demand;Nature appreciation;distance from path/boardwalk;distance from path/boardwalk;distance from path/boardwalk;MaxEnt;MaxEnt;Presence;4;4;2011-2014;Flickr;Photos;Local;yes;Singapore;Berlayer Creek, Chek Jawa, Sungei Buloh Wetland Reserve (SBWR) y Mandai;Mangroves;Coastal systems (incl wetlands);;no;no;AUC-ROC (Area Under the Receiver Operating Characteristic Curve);Carlos;1214;paths and trails;Distance;distance from path/boardwalk;Roads and Paths;Accessibility;Anthropic elements;Enjoy the fauna and flora;Physical and psychological experiences;Nature appreciation;;
68;"Richards, DR; Friess, DA";A rapid indicator of cultural ecosystem service usage at a fine spatial scale: Content analysis of social media photographs;10.1016/j.ecolind.2015.01.034;https://doi.org/10.1016/j.ecolind.2015.01.034;Demand;Nature appreciation;distance from site entrance;distance from site entrance;;MaxEnt;MaxEnt;Presence;4;4;2011-2015;Flickr;Photos;Local;yes;Singapore;Berlayer Creek, Chek Jawa, Sungei Buloh Wetland Reserve (SBWR) y Mandai;Mangroves;Coastal systems (incl wetlands);;no;no;AUC-ROC (Area Under the Receiver Operating Characteristic Curve);Carlos;1215;site entrance;Distance;distance from site entrance;Recreational or tourism infrastructures;Recreational Opportunities;Anthropic elements;Enjoy the fauna and flora;Physical and psychological experiences;Nature appreciation;;
68;"Richards, DR; Friess, DA";A rapid indicator of cultural ecosystem service usage at a fine spatial scale: Content analysis of social media photographs;10.1016/j.ecolind.2015.01.034;https://doi.org/10.1016/j.ecolind.2015.01.034;Demand;Nature appreciation;main habitat type within 30 m;main habitat type within 30 m;;MaxEnt;MaxEnt;Presence;4;4;2011-2016;Flickr;Photos;Local;yes;Singapore;Berlayer Creek, Chek Jawa, Sungei Buloh Wetland Reserve (SBWR) y Mandai;Mangroves;Coastal systems (incl wetlands);;no;no;AUC-ROC (Area Under the Receiver Operating Characteristic Curve);Carlos;1216;habitat type;Original variable;main habitat type within 30 m;Land Use and Land Cover;Land Use and Land Cover;Natural elements;Enjoy the fauna and flora;Physical and psychological experiences;Nature appreciation;;
68;"Richards, DR; Friess, DA";A rapid indicator of cultural ecosystem service usage at a fine spatial scale: Content analysis of social media photographs;10.1016/j.ecolind.2015.01.034;https://doi.org/10.1016/j.ecolind.2015.01.034;Demand;Nature appreciation;distance from focal point;distance from focal point;;MaxEnt;MaxEnt;Presence;4;4;2011-2017;Flickr;Photos;Local;yes;Singapore;Berlayer Creek, Chek Jawa, Sungei Buloh Wetland Reserve (SBWR) y Mandai;Mangroves;Coastal systems (incl wetlands);;no;no;AUC-ROC (Area Under the Receiver Operating Characteristic Curve);Carlos;1217;focal point;Distance;distance from focal point;Recreational or tourism infrastructures;Recreational Opportunities;Anthropic elements;Enjoy the fauna and flora;Physical and psychological experiences;Nature appreciation;;
68;"Richards, DR; Friess, DA";A rapid indicator of cultural ecosystem service usage at a fine spatial scale: Content analysis of social media photographs;10.1016/j.ecolind.2015.01.034;https://doi.org/10.1016/j.ecolind.2015.01.034;Demand;Research;distance from path/boardwalk;distance from path/boardwalk;distance from path/boardwalk;MaxEnt;MaxEnt;Presence;4;4;2011-2034;Flickr;Photos;Local;yes;Singapore;Berlayer Creek, Chek Jawa, Sungei Buloh Wetland Reserve (SBWR) y Mandai;Mangroves;Coastal systems (incl wetlands);;no;no;AUC-ROC (Area Under the Receiver Operating Characteristic Curve);Carlos;1234;paths and trails;Distance;distance from path/boardwalk;Roads and Paths;Accessibility;Anthropic elements;Research;Learning and inspiration;Research;;
68;"Richards, DR; Friess, DA";A rapid indicator of cultural ecosystem service usage at a fine spatial scale: Content analysis of social media photographs;10.1016/j.ecolind.2015.01.034;https://doi.org/10.1016/j.ecolind.2015.01.034;Demand;Research;distance from site entrance;distance from site entrance;;MaxEnt;MaxEnt;Presence;4;4;2011-2035;Flickr;Photos;Local;yes;Singapore;Berlayer Creek, Chek Jawa, Sungei Buloh Wetland Reserve (SBWR) y Mandai;Mangroves;Coastal systems (incl wetlands);;no;no;AUC-ROC (Area Under the Receiver Operating Characteristic Curve);Carlos;1235;site entrance;Distance;distance from site entrance;Recreational or tourism infrastructures;Recreational Opportunities;Anthropic elements;Research;Learning and inspiration;Research;;
68;"Richards, DR; Friess, DA";A rapid indicator of cultural ecosystem service usage at a fine spatial scale: Content analysis of social media photographs;10.1016/j.ecolind.2015.01.034;https://doi.org/10.1016/j.ecolind.2015.01.034;Demand;Research;main habitat type within 30 m;main habitat type within 30 m;;MaxEnt;MaxEnt;Presence;4;4;2011-2036;Flickr;Photos;Local;yes;Singapore;Berlayer Creek, Chek Jawa, Sungei Buloh Wetland Reserve (SBWR) y Mandai;Mangroves;Coastal systems (incl wetlands);;no;no;AUC-ROC (Area Under the Receiver Operating Characteristic Curve);Carlos;1236;habitat type;Original variable;main habitat type within 30 m;Land Use and Land Cover;Land Use and Land Cover;Natural elements;Research;Learning and inspiration;Research;;
68;"Richards, DR; Friess, DA";A rapid indicator of cultural ecosystem service usage at a fine spatial scale: Content analysis of social media photographs;10.1016/j.ecolind.2015.01.034;https://doi.org/10.1016/j.ecolind.2015.01.034;Demand;Research;distance from focal point;distance from focal point;;MaxEnt;MaxEnt;Presence;4;4;2011-2037;Flickr;Photos;Local;yes;Singapore;Berlayer Creek, Chek Jawa, Sungei Buloh Wetland Reserve (SBWR) y Mandai;Mangroves;Coastal systems (incl wetlands);;no;no;AUC-ROC (Area Under the Receiver Operating Characteristic Curve);Carlos;1237;focal point;Distance;distance from focal point;Recreational or tourism infrastructures;Recreational Opportunities;Anthropic elements;Research;Learning and inspiration;Research;;
68;"Richards, DR; Friess, DA";A rapid indicator of cultural ecosystem service usage at a fine spatial scale: Content analysis of social media photographs;10.1016/j.ecolind.2015.01.034;https://doi.org/10.1016/j.ecolind.2015.01.034;Demand;Social recreation;distance from path/boardwalk;distance from path/boardwalk;distance from path/boardwalk;MaxEnt;MaxEnt;Presence;4;4;2011-2022;Flickr;Photos;Local;yes;Singapore;Berlayer Creek, Chek Jawa, Sungei Buloh Wetland Reserve (SBWR) y Mandai;Mangroves;Coastal systems (incl wetlands);;no;no;AUC-ROC (Area Under the Receiver Operating Characteristic Curve);Carlos;1222;paths and trails;Distance;distance from path/boardwalk;Roads and Paths;Accessibility;Anthropic elements;Recreation;Physical and psychological experiences;Social recreation;;
68;"Richards, DR; Friess, DA";A rapid indicator of cultural ecosystem service usage at a fine spatial scale: Content analysis of social media photographs;10.1016/j.ecolind.2015.01.034;https://doi.org/10.1016/j.ecolind.2015.01.034;Demand;Social recreation;distance from site entrance;distance from site entrance;;MaxEnt;MaxEnt;Presence;4;4;2011-2023;Flickr;Photos;Local;yes;Singapore;Berlayer Creek, Chek Jawa, Sungei Buloh Wetland Reserve (SBWR) y Mandai;Mangroves;Coastal systems (incl wetlands);;no;no;AUC-ROC (Area Under the Receiver Operating Characteristic Curve);Carlos;1223;site entrance;Distance;distance from site entrance;Recreational or tourism infrastructures;Recreational Opportunities;Anthropic elements;Recreation;Physical and psychological experiences;Social recreation;;
